etngrp_src,oplniv_src,etngrp_dst,oplniv_dst,n
Autochtoon,1,Autochtoon,1,280050
Autochtoon,1,Autochtoon,2,169260
Autochtoon,1,Autochtoon,3,129840
Autochtoon,1,Marokkaans,1,31710
Autochtoon,1,Marokkaans,2,16390
Autochtoon,1,Marokkaans,3,6380
Autochtoon,1,Overig,1,24990
Autochtoon,1,Overig,2,14420
Autochtoon,1,Overig,3,19000
Autochtoon,1,Surinaams,1,15050
Autochtoon,1,Surinaams,2,15950
Autochtoon,1,Surinaams,3,4940
Autochtoon,1,Turks,1,10270
Autochtoon,1,Turks,2,5890
Autochtoon,1,Turks,3,2250
Autochtoon,2,Autochtoon,1,169260
Autochtoon,2,Autochtoon,2,151600
Autochtoon,2,Autochtoon,3,109270
Autochtoon,2,Marokkaans,1,600
Autochtoon,2,Marokkaans,2,170
Autochtoon,2,Marokkaans,3,20
Autochtoon,2,Overig,1,12660
Autochtoon,2,Overig,2,14200
Autochtoon,2,Overig,3,12030
Autochtoon,2,Surinaams,1,2020
Autochtoon,2,Surinaams,2,4660
Autochtoon,2,Surinaams,3,1160
Autochtoon,2,Turks,1,100
Autochtoon,3,Autochtoon,1,129830
Autochtoon,3,Autochtoon,2,109270
Autochtoon,3,Autochtoon,3,300660
Autochtoon,3,Marokkaans,1,290
Autochtoon,3,Marokkaans,2,60
Autochtoon,3,Marokkaans,3,100
Autochtoon,3,Overig,1,39400
Autochtoon,3,Overig,2,17060
Autochtoon,3,Overig,3,44530
Autochtoon,3,Surinaams,1,1180
Autochtoon,3,Surinaams,2,920
Autochtoon,3,Surinaams,3,1190
Autochtoon,3,Turks,1,470
Autochtoon,3,Turks,2,10
Autochtoon,3,Turks,3,130
Marokkaans,1,Autochtoon,1,31710
Marokkaans,1,Autochtoon,2,600
Marokkaans,1,Autochtoon,3,290
Marokkaans,1,Marokkaans,1,517710
Marokkaans,1,Marokkaans,2,189620
Marokkaans,1,Marokkaans,3,50540
Marokkaans,1,Overig,1,6740
Marokkaans,1,Overig,2,2010
Marokkaans,1,Overig,3,700
Marokkaans,1,Surinaams,1,380
Marokkaans,1,Surinaams,2,380
Marokkaans,1,Surinaams,3,50
Marokkaans,1,Turks,1,740
Marokkaans,1,Turks,2,220
Marokkaans,1,Turks,3,30
Marokkaans,2,Autochtoon,1,16390
Marokkaans,2,Autochtoon,2,170
Marokkaans,2,Autochtoon,3,60
Marokkaans,2,Marokkaans,1,189620
Marokkaans,2,Marokkaans,2,87690
Marokkaans,2,Marokkaans,3,25930
Marokkaans,2,Overig,1,2270
Marokkaans,2,Overig,2,790
Marokkaans,2,Overig,3,330
Marokkaans,2,Surinaams,1,140
Marokkaans,2,Surinaams,2,50
Marokkaans,2,Turks,1,220
Marokkaans,2,Turks,2,110
Marokkaans,2,Turks,3,20
Marokkaans,3,Autochtoon,1,6380
Marokkaans,3,Autochtoon,2,20
Marokkaans,3,Autochtoon,3,100
Marokkaans,3,Marokkaans,1,50540
Marokkaans,3,Marokkaans,2,25930
Marokkaans,3,Marokkaans,3,10940
Marokkaans,3,Overig,1,750
Marokkaans,3,Overig,2,140
Marokkaans,3,Overig,3,130
Marokkaans,3,Turks,1,20
Overig,1,Autochtoon,1,24990
Overig,1,Autochtoon,2,12660
Overig,1,Autochtoon,3,39400
Overig,1,Marokkaans,1,6740
Overig,1,Marokkaans,2,2270
Overig,1,Marokkaans,3,750
Overig,1,Overig,1,740560
Overig,1,Overig,2,66070
Overig,1,Overig,3,140810
Overig,1,Surinaams,1,5120
Overig,1,Surinaams,2,3470
Overig,1,Surinaams,3,1180
Overig,1,Turks,1,1960
Overig,1,Turks,2,1000
Overig,1,Turks,3,370
Overig,2,Autochtoon,1,14420
Overig,2,Autochtoon,2,14200
Overig,2,Autochtoon,3,17060
Overig,2,Marokkaans,1,2010
Overig,2,Marokkaans,2,790
Overig,2,Marokkaans,3,140
Overig,2,Overig,1,66060
Overig,2,Overig,2,72570
Overig,2,Overig,3,153090
Overig,2,Surinaams,1,2080
Overig,2,Surinaams,2,2010
Overig,2,Surinaams,3,520
Overig,2,Turks,1,210
Overig,2,Turks,2,80
Overig,2,Turks,3,10
Overig,3,Autochtoon,1,19000
Overig,3,Autochtoon,2,12030
Overig,3,Autochtoon,3,44530
Overig,3,Marokkaans,1,700
Overig,3,Marokkaans,2,330
Overig,3,Marokkaans,3,130
Overig,3,Overig,1,140810
Overig,3,Overig,2,153090
Overig,3,Overig,3,206560
Overig,3,Surinaams,1,780
Overig,3,Surinaams,2,510
Overig,3,Surinaams,3,400
Overig,3,Turks,1,60
Overig,3,Turks,2,20
Overig,3,Turks,3,50
Surinaams,1,Autochtoon,1,15050
Surinaams,1,Autochtoon,2,2020
Surinaams,1,Autochtoon,3,1180
Surinaams,1,Marokkaans,1,380
Surinaams,1,Marokkaans,2,140
Surinaams,1,Overig,1,5120
Surinaams,1,Overig,2,2080
Surinaams,1,Overig,3,780
Surinaams,1,Surinaams,1,98660
Surinaams,1,Surinaams,2,70430
Surinaams,1,Surinaams,3,19820
Surinaams,1,Turks,1,20
Surinaams,2,Autochtoon,1,15950
Surinaams,2,Autochtoon,2,4660
Surinaams,2,Autochtoon,3,920
Surinaams,2,Marokkaans,1,380
Surinaams,2,Marokkaans,2,50
Surinaams,2,Overig,1,3470
Surinaams,2,Overig,2,2010
Surinaams,2,Overig,3,510
Surinaams,2,Surinaams,1,70430
Surinaams,2,Surinaams,2,64790
Surinaams,2,Surinaams,3,21460
Surinaams,2,Turks,1,20
Surinaams,3,Autochtoon,1,4940
Surinaams,3,Autochtoon,2,1160
Surinaams,3,Autochtoon,3,1190
Surinaams,3,Marokkaans,1,50
Surinaams,3,Overig,1,1180
Surinaams,3,Overig,2,520
Surinaams,3,Overig,3,400
Surinaams,3,Surinaams,1,19820
Surinaams,3,Surinaams,2,21460
Surinaams,3,Surinaams,3,13640
Turks,1,Autochtoon,1,10270
Turks,1,Autochtoon,2,100
Turks,1,Autochtoon,3,470
Turks,1,Marokkaans,1,740
Turks,1,Marokkaans,2,220
Turks,1,Marokkaans,3,20
Turks,1,Overig,1,1960
Turks,1,Overig,2,210
Turks,1,Overig,3,60
Turks,1,Surinaams,1,20
Turks,1,Surinaams,2,20
Turks,1,Turks,1,217160
Turks,1,Turks,2,64710
Turks,1,Turks,3,14820
Turks,2,Autochtoon,1,5890
Turks,2,Autochtoon,3,10
Turks,2,Marokkaans,1,220
Turks,2,Marokkaans,2,110
Turks,2,Overig,1,1000
Turks,2,Overig,2,80
Turks,2,Overig,3,20
Turks,2,Turks,1,64710
Turks,2,Turks,2,38020
Turks,2,Turks,3,8120
Turks,3,Autochtoon,1,2250
Turks,3,Autochtoon,3,130
Turks,3,Marokkaans,1,30
Turks,3,Marokkaans,2,20
Turks,3,Overig,1,370
Turks,3,Overig,2,10
Turks,3,Overig,3,50
Turks,3,Turks,1,14820
Turks,3,Turks,2,8120
Turks,3,Turks,3,4430
