geslacht,lft,etngrp,oplniv,n
Man,"[0,20)",Autochtoon,1,30825
Man,"[0,20)",Autochtoon,2,1860
Man,"[0,20)",Autochtoon,3,13
Man,"[0,20)",Marokkaans,1,12205
Man,"[0,20)",Marokkaans,2,594
Man,"[0,20)",Marokkaans,3,0
Man,"[0,20)",Overig,1,26101
Man,"[0,20)",Overig,2,991
Man,"[0,20)",Overig,3,7
Man,"[0,20)",Surinaams,1,5341
Man,"[0,20)",Surinaams,2,358
Man,"[0,20)",Surinaams,3,0
Man,"[0,20)",Turks,1,5620
Man,"[0,20)",Turks,2,278
Man,"[0,20)",Turks,3,1
Man,"[20,30)",Autochtoon,1,2078
Man,"[20,30)",Autochtoon,2,14065
Man,"[20,30)",Autochtoon,3,17655
Man,"[20,30)",Marokkaans,1,1502
Man,"[20,30)",Marokkaans,2,3704
Man,"[20,30)",Marokkaans,3,693
Man,"[20,30)",Overig,1,1919
Man,"[20,30)",Overig,2,9477
Man,"[20,30)",Overig,3,17202
Man,"[20,30)",Surinaams,1,1134
Man,"[20,30)",Surinaams,2,3276
Man,"[20,30)",Surinaams,3,588
Man,"[20,30)",Turks,1,933
Man,"[20,30)",Turks,2,2244
Man,"[20,30)",Turks,3,722
Man,"[30,40)",Autochtoon,1,2489
Man,"[30,40)",Autochtoon,2,6703
Man,"[30,40)",Autochtoon,3,22707
Man,"[30,40)",Marokkaans,1,2342
Man,"[30,40)",Marokkaans,2,2292
Man,"[30,40)",Marokkaans,3,1165
Man,"[30,40)",Overig,1,2677
Man,"[30,40)",Overig,2,3822
Man,"[30,40)",Overig,3,24999
Man,"[30,40)",Surinaams,1,1320
Man,"[30,40)",Surinaams,2,2376
Man,"[30,40)",Surinaams,3,1102
Man,"[30,40)",Turks,1,1208
Man,"[30,40)",Turks,2,2116
Man,"[30,40)",Turks,3,1075
Man,"[40,50)",Autochtoon,1,2446
Man,"[40,50)",Autochtoon,2,7359
Man,"[40,50)",Autochtoon,3,15793
Man,"[40,50)",Marokkaans,1,2701
Man,"[40,50)",Marokkaans,2,2094
Man,"[40,50)",Marokkaans,3,703
Man,"[40,50)",Overig,1,4264
Man,"[40,50)",Overig,2,6174
Man,"[40,50)",Overig,3,9361
Man,"[40,50)",Surinaams,1,1407
Man,"[40,50)",Surinaams,2,1909
Man,"[40,50)",Surinaams,3,883
Man,"[40,50)",Turks,1,2046
Man,"[40,50)",Turks,2,1061
Man,"[40,50)",Turks,3,491
Man,"[50,60)",Autochtoon,1,4911
Man,"[50,60)",Autochtoon,2,9775
Man,"[50,60)",Autochtoon,3,12913
Man,"[50,60)",Marokkaans,1,2708
Man,"[50,60)",Marokkaans,2,1166
Man,"[50,60)",Marokkaans,3,424
Man,"[50,60)",Overig,1,2734
Man,"[50,60)",Overig,2,5522
Man,"[50,60)",Overig,3,7942
Man,"[50,60)",Surinaams,1,2163
Man,"[50,60)",Surinaams,2,1962
Man,"[50,60)",Surinaams,3,774
Man,"[50,60)",Turks,1,1866
Man,"[50,60)",Turks,2,904
Man,"[50,60)",Turks,3,228
Man,"[60,70)",Autochtoon,1,4811
Man,"[60,70)",Autochtoon,2,6632
Man,"[60,70)",Autochtoon,3,11155
Man,"[60,70)",Marokkaans,1,1963
Man,"[60,70)",Marokkaans,2,386
Man,"[60,70)",Marokkaans,3,49
Man,"[60,70)",Overig,1,3494
Man,"[60,70)",Overig,2,3409
Man,"[60,70)",Overig,3,3396
Man,"[60,70)",Surinaams,1,1667
Man,"[60,70)",Surinaams,2,1048
Man,"[60,70)",Surinaams,3,884
Man,"[60,70)",Turks,1,1003
Man,"[60,70)",Turks,2,117
Man,"[60,70)",Turks,3,78
Man,"[70,80)",Autochtoon,1,4336
Man,"[70,80)",Autochtoon,2,4216
Man,"[70,80)",Autochtoon,3,6246
Man,"[70,80)",Marokkaans,1,1565
Man,"[70,80)",Marokkaans,2,33
Man,"[70,80)",Marokkaans,3,1
Man,"[70,80)",Overig,1,1326
Man,"[70,80)",Overig,2,1082
Man,"[70,80)",Overig,3,2290
Man,"[70,80)",Surinaams,1,911
Man,"[70,80)",Surinaams,2,425
Man,"[70,80)",Surinaams,3,162
Man,"[70,80)",Turks,1,587
Man,"[70,80)",Turks,2,6
Man,"[70,80)",Turks,3,6
Man,"[80,120]",Autochtoon,1,2163
Man,"[80,120]",Autochtoon,2,2977
Man,"[80,120]",Autochtoon,3,859
Man,"[80,120]",Marokkaans,1,600
Man,"[80,120]",Marokkaans,2,0
Man,"[80,120]",Marokkaans,3,0
Man,"[80,120]",Overig,1,126
Man,"[80,120]",Overig,2,170
Man,"[80,120]",Overig,3,1202
Man,"[80,120]",Surinaams,1,0
Man,"[80,120]",Surinaams,2,0
Man,"[80,120]",Surinaams,3,0
Man,"[80,120]",Turks,1,200
Man,"[80,120]",Turks,2,0
Man,"[80,120]",Turks,3,0
Vrouw,"[0,20)",Autochtoon,1,29308
Vrouw,"[0,20)",Autochtoon,2,2383
Vrouw,"[0,20)",Autochtoon,3,7
Vrouw,"[0,20)",Marokkaans,1,11509
Vrouw,"[0,20)",Marokkaans,2,789
Vrouw,"[0,20)",Marokkaans,3,0
Vrouw,"[0,20)",Overig,1,24600
Vrouw,"[0,20)",Overig,2,1791
Vrouw,"[0,20)",Overig,3,7
Vrouw,"[0,20)",Surinaams,1,5056
Vrouw,"[0,20)",Surinaams,2,443
Vrouw,"[0,20)",Surinaams,3,0
Vrouw,"[0,20)",Turks,1,5047
Vrouw,"[0,20)",Turks,2,352
Vrouw,"[0,20)",Turks,3,0
Vrouw,"[20,30)",Autochtoon,1,1388
Vrouw,"[20,30)",Autochtoon,2,14264
Vrouw,"[20,30)",Autochtoon,3,24846
Vrouw,"[20,30)",Marokkaans,1,588
Vrouw,"[20,30)",Marokkaans,2,4233
Vrouw,"[20,30)",Marokkaans,3,1178
Vrouw,"[20,30)",Overig,1,3870
Vrouw,"[20,30)",Overig,2,15730
Vrouw,"[20,30)",Overig,3,13299
Vrouw,"[20,30)",Surinaams,1,695
Vrouw,"[20,30)",Surinaams,2,3281
Vrouw,"[20,30)",Surinaams,3,1022
Vrouw,"[20,30)",Turks,1,1261
Vrouw,"[20,30)",Turks,2,1871
Vrouw,"[20,30)",Turks,3,566
Vrouw,"[30,40)",Autochtoon,1,2066
Vrouw,"[30,40)",Autochtoon,2,4674
Vrouw,"[30,40)",Autochtoon,3,23059
Vrouw,"[30,40)",Marokkaans,1,2313
Vrouw,"[30,40)",Marokkaans,2,2479
Vrouw,"[30,40)",Marokkaans,3,1806
Vrouw,"[30,40)",Overig,1,2278
Vrouw,"[30,40)",Overig,2,9266
Vrouw,"[30,40)",Overig,3,19555
Vrouw,"[30,40)",Surinaams,1,789
Vrouw,"[30,40)",Surinaams,2,2625
Vrouw,"[30,40)",Surinaams,3,1784
Vrouw,"[30,40)",Turks,1,1395
Vrouw,"[30,40)",Turks,2,1626
Vrouw,"[30,40)",Turks,3,1077
Vrouw,"[40,50)",Autochtoon,1,2289
Vrouw,"[40,50)",Autochtoon,2,6148
Vrouw,"[40,50)",Autochtoon,3,14161
Vrouw,"[40,50)",Marokkaans,1,2555
Vrouw,"[40,50)",Marokkaans,2,2068
Vrouw,"[40,50)",Marokkaans,3,875
Vrouw,"[40,50)",Overig,1,3490
Vrouw,"[40,50)",Overig,2,5060
Vrouw,"[40,50)",Overig,3,11049
Vrouw,"[40,50)",Surinaams,1,1191
Vrouw,"[40,50)",Surinaams,2,2483
Vrouw,"[40,50)",Surinaams,3,1324
Vrouw,"[40,50)",Turks,1,2005
Vrouw,"[40,50)",Turks,2,977
Vrouw,"[40,50)",Turks,3,517
Vrouw,"[50,60)",Autochtoon,1,4073
Vrouw,"[50,60)",Autochtoon,2,8299
Vrouw,"[50,60)",Autochtoon,3,12726
Vrouw,"[50,60)",Marokkaans,1,2903
Vrouw,"[50,60)",Marokkaans,2,597
Vrouw,"[50,60)",Marokkaans,3,99
Vrouw,"[50,60)",Overig,1,3035
Vrouw,"[50,60)",Overig,2,4247
Vrouw,"[50,60)",Overig,3,7217
Vrouw,"[50,60)",Surinaams,1,1932
Vrouw,"[50,60)",Surinaams,2,3194
Vrouw,"[50,60)",Surinaams,3,1172
Vrouw,"[50,60)",Turks,1,1689
Vrouw,"[50,60)",Turks,2,668
Vrouw,"[50,60)",Turks,3,141
Vrouw,"[60,70)",Autochtoon,1,6422
Vrouw,"[60,70)",Autochtoon,2,5738
Vrouw,"[60,70)",Autochtoon,3,9638
Vrouw,"[60,70)",Marokkaans,1,2252
Vrouw,"[60,70)",Marokkaans,2,44
Vrouw,"[60,70)",Marokkaans,3,2
Vrouw,"[60,70)",Overig,1,2966
Vrouw,"[60,70)",Overig,2,3017
Vrouw,"[60,70)",Overig,3,4116
Vrouw,"[60,70)",Surinaams,1,1781
Vrouw,"[60,70)",Surinaams,2,1958
Vrouw,"[60,70)",Surinaams,3,859
Vrouw,"[60,70)",Turks,1,1158
Vrouw,"[60,70)",Turks,2,38
Vrouw,"[60,70)",Turks,3,2
Vrouw,"[70,80)",Autochtoon,1,6136
Vrouw,"[70,80)",Autochtoon,2,4650
Vrouw,"[70,80)",Autochtoon,3,6113
Vrouw,"[70,80)",Marokkaans,1,1000
Vrouw,"[70,80)",Marokkaans,2,0
Vrouw,"[70,80)",Marokkaans,3,0
Vrouw,"[70,80)",Overig,1,1533
Vrouw,"[70,80)",Overig,2,1585
Vrouw,"[70,80)",Overig,3,1781
Vrouw,"[70,80)",Surinaams,1,1291
Vrouw,"[70,80)",Surinaams,2,348
Vrouw,"[70,80)",Surinaams,3,259
Vrouw,"[70,80)",Turks,1,600
Vrouw,"[70,80)",Turks,2,0
Vrouw,"[70,80)",Turks,3,0
Vrouw,"[80,120]",Autochtoon,1,8091
Vrouw,"[80,120]",Autochtoon,2,1916
Vrouw,"[80,120]",Autochtoon,3,692
Vrouw,"[80,120]",Marokkaans,1,300
Vrouw,"[80,120]",Marokkaans,2,0
Vrouw,"[80,120]",Marokkaans,3,0
Vrouw,"[80,120]",Overig,1,1440
Vrouw,"[80,120]",Overig,2,293
Vrouw,"[80,120]",Overig,3,765
Vrouw,"[80,120]",Surinaams,1,1000
Vrouw,"[80,120]",Surinaams,2,0
Vrouw,"[80,120]",Surinaams,3,0
Vrouw,"[80,120]",Turks,1,0
Vrouw,"[80,120]",Turks,2,0
Vrouw,"[80,120]",Turks,3,0
