geslacht_src,lft_src,oplniv_src,geslacht_dst,lft_dst,oplniv_dst,n
Man,"[0,20)",1,Man,"[0,20)",1,1425470
Man,"[0,20)",1,Man,"[0,20)",2,19430
Man,"[0,20)",1,Man,"[0,20)",3,220
Man,"[0,20)",1,Man,"[20,30)",1,21120
Man,"[0,20)",1,Man,"[20,30)",2,46480
Man,"[0,20)",1,Man,"[20,30)",3,10120
Man,"[0,20)",1,Man,"[30,40)",1,7430
Man,"[0,20)",1,Man,"[30,40)",2,10980
Man,"[0,20)",1,Man,"[30,40)",3,20390
Man,"[0,20)",1,Man,"[40,50)",1,4150
Man,"[0,20)",1,Man,"[40,50)",2,4970
Man,"[0,20)",1,Man,"[40,50)",3,3270
Man,"[0,20)",1,Man,"[50,60)",1,4270
Man,"[0,20)",1,Man,"[50,60)",2,4710
Man,"[0,20)",1,Man,"[50,60)",3,2490
Man,"[0,20)",1,Man,"[60,70)",1,1470
Man,"[0,20)",1,Man,"[60,70)",2,920
Man,"[0,20)",1,Man,"[60,70)",3,810
Man,"[0,20)",1,Man,"[70,80)",1,90
Man,"[0,20)",1,Vrouw,"[0,20)",1,1298100
Man,"[0,20)",1,Vrouw,"[0,20)",2,22310
Man,"[0,20)",1,Vrouw,"[0,20)",3,70
Man,"[0,20)",1,Vrouw,"[20,30)",1,15480
Man,"[0,20)",1,Vrouw,"[20,30)",2,51780
Man,"[0,20)",1,Vrouw,"[20,30)",3,14930
Man,"[0,20)",1,Vrouw,"[30,40)",1,5770
Man,"[0,20)",1,Vrouw,"[30,40)",2,9520
Man,"[0,20)",1,Vrouw,"[30,40)",3,8450
Man,"[0,20)",1,Vrouw,"[40,50)",1,5060
Man,"[0,20)",1,Vrouw,"[40,50)",2,6670
Man,"[0,20)",1,Vrouw,"[40,50)",3,3410
Man,"[0,20)",1,Vrouw,"[50,60)",1,4200
Man,"[0,20)",1,Vrouw,"[50,60)",2,3850
Man,"[0,20)",1,Vrouw,"[50,60)",3,1930
Man,"[0,20)",1,Vrouw,"[60,70)",1,1370
Man,"[0,20)",1,Vrouw,"[60,70)",2,680
Man,"[0,20)",1,Vrouw,"[60,70)",3,780
Man,"[0,20)",1,Vrouw,"[70,80)",3,10
Man,"[0,20)",2,Man,"[0,20)",1,19550
Man,"[0,20)",2,Man,"[0,20)",2,50570
Man,"[0,20)",2,Man,"[0,20)",3,600
Man,"[0,20)",2,Man,"[20,30)",1,4180
Man,"[0,20)",2,Man,"[20,30)",2,57290
Man,"[0,20)",2,Man,"[20,30)",3,5530
Man,"[0,20)",2,Man,"[30,40)",1,2290
Man,"[0,20)",2,Man,"[30,40)",2,4750
Man,"[0,20)",2,Man,"[30,40)",3,6530
Man,"[0,20)",2,Man,"[40,50)",1,950
Man,"[0,20)",2,Man,"[40,50)",2,1800
Man,"[0,20)",2,Man,"[40,50)",3,1550
Man,"[0,20)",2,Man,"[50,60)",1,1020
Man,"[0,20)",2,Man,"[50,60)",2,1380
Man,"[0,20)",2,Man,"[50,60)",3,990
Man,"[0,20)",2,Man,"[60,70)",1,620
Man,"[0,20)",2,Man,"[60,70)",2,390
Man,"[0,20)",2,Man,"[60,70)",3,270
Man,"[0,20)",2,Vrouw,"[0,20)",1,15640
Man,"[0,20)",2,Vrouw,"[0,20)",2,40450
Man,"[0,20)",2,Vrouw,"[0,20)",3,290
Man,"[0,20)",2,Vrouw,"[20,30)",1,2340
Man,"[0,20)",2,Vrouw,"[20,30)",2,44320
Man,"[0,20)",2,Vrouw,"[20,30)",3,7360
Man,"[0,20)",2,Vrouw,"[30,40)",1,1180
Man,"[0,20)",2,Vrouw,"[30,40)",2,3430
Man,"[0,20)",2,Vrouw,"[30,40)",3,3350
Man,"[0,20)",2,Vrouw,"[40,50)",1,1070
Man,"[0,20)",2,Vrouw,"[40,50)",2,2770
Man,"[0,20)",2,Vrouw,"[40,50)",3,1460
Man,"[0,20)",2,Vrouw,"[50,60)",1,930
Man,"[0,20)",2,Vrouw,"[50,60)",2,1370
Man,"[0,20)",2,Vrouw,"[50,60)",3,910
Man,"[0,20)",2,Vrouw,"[60,70)",1,220
Man,"[0,20)",2,Vrouw,"[60,70)",2,300
Man,"[0,20)",2,Vrouw,"[60,70)",3,210
Man,"[0,20)",3,Man,"[0,20)",1,220
Man,"[0,20)",3,Man,"[0,20)",2,600
Man,"[0,20)",3,Man,"[20,30)",2,380
Man,"[0,20)",3,Man,"[20,30)",3,10
Man,"[0,20)",3,Vrouw,"[0,20)",1,190
Man,"[0,20)",3,Vrouw,"[0,20)",2,520
Man,"[0,20)",3,Vrouw,"[20,30)",2,310
Man,"[0,20)",3,Vrouw,"[20,30)",3,10
Man,"[0,20)",3,Vrouw,"[30,40)",2,10
Man,"[20,30)",1,Man,"[0,20)",1,21200
Man,"[20,30)",1,Man,"[0,20)",2,4180
Man,"[20,30)",1,Man,"[20,30)",1,11110
Man,"[20,30)",1,Man,"[20,30)",2,23850
Man,"[20,30)",1,Man,"[20,30)",3,9070
Man,"[20,30)",1,Man,"[30,40)",1,7220
Man,"[20,30)",1,Man,"[30,40)",2,9220
Man,"[20,30)",1,Man,"[30,40)",3,7840
Man,"[20,30)",1,Man,"[40,50)",1,5740
Man,"[20,30)",1,Man,"[40,50)",2,5630
Man,"[20,30)",1,Man,"[40,50)",3,3090
Man,"[20,30)",1,Man,"[50,60)",1,5310
Man,"[20,30)",1,Man,"[50,60)",2,5880
Man,"[20,30)",1,Man,"[50,60)",3,2710
Man,"[20,30)",1,Man,"[60,70)",1,2330
Man,"[20,30)",1,Man,"[60,70)",2,1570
Man,"[20,30)",1,Man,"[60,70)",3,1060
Man,"[20,30)",1,Man,"[70,80)",1,40
Man,"[20,30)",1,Man,"[70,80)",2,30
Man,"[20,30)",1,Vrouw,"[0,20)",1,14270
Man,"[20,30)",1,Vrouw,"[0,20)",2,4090
Man,"[20,30)",1,Vrouw,"[20,30)",1,4900
Man,"[20,30)",1,Vrouw,"[20,30)",2,24070
Man,"[20,30)",1,Vrouw,"[20,30)",3,9420
Man,"[20,30)",1,Vrouw,"[30,40)",1,2730
Man,"[20,30)",1,Vrouw,"[30,40)",2,5110
Man,"[20,30)",1,Vrouw,"[30,40)",3,6540
Man,"[20,30)",1,Vrouw,"[40,50)",1,2780
Man,"[20,30)",1,Vrouw,"[40,50)",2,4460
Man,"[20,30)",1,Vrouw,"[40,50)",3,2750
Man,"[20,30)",1,Vrouw,"[50,60)",1,3270
Man,"[20,30)",1,Vrouw,"[50,60)",2,3490
Man,"[20,30)",1,Vrouw,"[50,60)",3,1830
Man,"[20,30)",1,Vrouw,"[60,70)",1,1140
Man,"[20,30)",1,Vrouw,"[60,70)",2,770
Man,"[20,30)",1,Vrouw,"[60,70)",3,640
Man,"[20,30)",2,Man,"[0,20)",1,47110
Man,"[20,30)",2,Man,"[0,20)",2,57270
Man,"[20,30)",2,Man,"[0,20)",3,380
Man,"[20,30)",2,Man,"[20,30)",1,23030
Man,"[20,30)",2,Man,"[20,30)",2,361210
Man,"[20,30)",2,Man,"[20,30)",3,68240
Man,"[20,30)",2,Man,"[30,40)",1,22280
Man,"[20,30)",2,Man,"[30,40)",2,48420
Man,"[20,30)",2,Man,"[30,40)",3,57070
Man,"[20,30)",2,Man,"[40,50)",1,13180
Man,"[20,30)",2,Man,"[40,50)",2,26580
Man,"[20,30)",2,Man,"[40,50)",3,23890
Man,"[20,30)",2,Man,"[50,60)",1,14440
Man,"[20,30)",2,Man,"[50,60)",2,26120
Man,"[20,30)",2,Man,"[50,60)",3,17690
Man,"[20,30)",2,Man,"[60,70)",1,7830
Man,"[20,30)",2,Man,"[60,70)",2,9470
Man,"[20,30)",2,Man,"[60,70)",3,6880
Man,"[20,30)",2,Man,"[70,80)",1,280
Man,"[20,30)",2,Man,"[70,80)",2,350
Man,"[20,30)",2,Man,"[70,80)",3,450
Man,"[20,30)",2,Vrouw,"[0,20)",1,41280
Man,"[20,30)",2,Vrouw,"[0,20)",2,58650
Man,"[20,30)",2,Vrouw,"[0,20)",3,360
Man,"[20,30)",2,Vrouw,"[20,30)",1,15220
Man,"[20,30)",2,Vrouw,"[20,30)",2,316740
Man,"[20,30)",2,Vrouw,"[20,30)",3,93970
Man,"[20,30)",2,Vrouw,"[30,40)",1,8300
Man,"[20,30)",2,Vrouw,"[30,40)",2,27800
Man,"[20,30)",2,Vrouw,"[30,40)",3,49260
Man,"[20,30)",2,Vrouw,"[40,50)",1,10300
Man,"[20,30)",2,Vrouw,"[40,50)",2,19010
Man,"[20,30)",2,Vrouw,"[40,50)",3,21500
Man,"[20,30)",2,Vrouw,"[50,60)",1,9440
Man,"[20,30)",2,Vrouw,"[50,60)",2,16740
Man,"[20,30)",2,Vrouw,"[50,60)",3,15570
Man,"[20,30)",2,Vrouw,"[60,70)",1,3490
Man,"[20,30)",2,Vrouw,"[60,70)",2,4990
Man,"[20,30)",2,Vrouw,"[60,70)",3,5360
Man,"[20,30)",2,Vrouw,"[70,80)",1,10
Man,"[20,30)",2,Vrouw,"[70,80)",2,380
Man,"[20,30)",2,Vrouw,"[70,80)",3,130
Man,"[20,30)",3,Man,"[0,20)",1,10140
Man,"[20,30)",3,Man,"[0,20)",2,5510
Man,"[20,30)",3,Man,"[0,20)",3,20
Man,"[20,30)",3,Man,"[20,30)",1,9150
Man,"[20,30)",3,Man,"[20,30)",2,66780
Man,"[20,30)",3,Man,"[20,30)",3,236440
Man,"[20,30)",3,Man,"[30,40)",1,9590
Man,"[20,30)",3,Man,"[30,40)",2,59980
Man,"[20,30)",3,Man,"[30,40)",3,233240
Man,"[20,30)",3,Man,"[40,50)",1,5700
Man,"[20,30)",3,Man,"[40,50)",2,17240
Man,"[20,30)",3,Man,"[40,50)",3,58760
Man,"[20,30)",3,Man,"[50,60)",1,6860
Man,"[20,30)",3,Man,"[50,60)",2,16510
Man,"[20,30)",3,Man,"[50,60)",3,33000
Man,"[20,30)",3,Man,"[60,70)",1,2770
Man,"[20,30)",3,Man,"[60,70)",2,8420
Man,"[20,30)",3,Man,"[60,70)",3,13350
Man,"[20,30)",3,Man,"[70,80)",1,80
Man,"[20,30)",3,Man,"[70,80)",2,100
Man,"[20,30)",3,Man,"[70,80)",3,410
Man,"[20,30)",3,Vrouw,"[0,20)",1,11600
Man,"[20,30)",3,Vrouw,"[0,20)",2,8380
Man,"[20,30)",3,Vrouw,"[0,20)",3,60
Man,"[20,30)",3,Vrouw,"[20,30)",1,3900
Man,"[20,30)",3,Vrouw,"[20,30)",2,65330
Man,"[20,30)",3,Vrouw,"[20,30)",3,271130
Man,"[20,30)",3,Vrouw,"[30,40)",1,4850
Man,"[20,30)",3,Vrouw,"[30,40)",2,28380
Man,"[20,30)",3,Vrouw,"[30,40)",3,162700
Man,"[20,30)",3,Vrouw,"[40,50)",1,4270
Man,"[20,30)",3,Vrouw,"[40,50)",2,18280
Man,"[20,30)",3,Vrouw,"[40,50)",3,49880
Man,"[20,30)",3,Vrouw,"[50,60)",1,4000
Man,"[20,30)",3,Vrouw,"[50,60)",2,15550
Man,"[20,30)",3,Vrouw,"[50,60)",3,28660
Man,"[20,30)",3,Vrouw,"[60,70)",1,2240
Man,"[20,30)",3,Vrouw,"[60,70)",2,5520
Man,"[20,30)",3,Vrouw,"[60,70)",3,10820
Man,"[20,30)",3,Vrouw,"[70,80)",1,10
Man,"[20,30)",3,Vrouw,"[70,80)",2,20
Man,"[20,30)",3,Vrouw,"[70,80)",3,90
Man,"[30,40)",1,Man,"[0,20)",1,7410
Man,"[30,40)",1,Man,"[0,20)",2,2280
Man,"[30,40)",1,Man,"[20,30)",1,7250
Man,"[30,40)",1,Man,"[20,30)",2,22140
Man,"[30,40)",1,Man,"[20,30)",3,9550
Man,"[30,40)",1,Man,"[30,40)",1,11480
Man,"[30,40)",1,Man,"[30,40)",2,12200
Man,"[30,40)",1,Man,"[30,40)",3,13970
Man,"[30,40)",1,Man,"[40,50)",1,11820
Man,"[30,40)",1,Man,"[40,50)",2,9870
Man,"[30,40)",1,Man,"[40,50)",3,5970
Man,"[30,40)",1,Man,"[50,60)",1,12110
Man,"[30,40)",1,Man,"[50,60)",2,9850
Man,"[30,40)",1,Man,"[50,60)",3,5300
Man,"[30,40)",1,Man,"[60,70)",1,4650
Man,"[30,40)",1,Man,"[60,70)",2,3110
Man,"[30,40)",1,Man,"[60,70)",3,2360
Man,"[30,40)",1,Man,"[70,80)",1,70
Man,"[30,40)",1,Vrouw,"[0,20)",1,6110
Man,"[30,40)",1,Vrouw,"[0,20)",2,2170
Man,"[30,40)",1,Vrouw,"[20,30)",1,3790
Man,"[30,40)",1,Vrouw,"[20,30)",2,32440
Man,"[30,40)",1,Vrouw,"[20,30)",3,16740
Man,"[30,40)",1,Vrouw,"[30,40)",1,5610
Man,"[30,40)",1,Vrouw,"[30,40)",2,6450
Man,"[30,40)",1,Vrouw,"[30,40)",3,12810
Man,"[30,40)",1,Vrouw,"[40,50)",1,6130
Man,"[30,40)",1,Vrouw,"[40,50)",2,6920
Man,"[30,40)",1,Vrouw,"[40,50)",3,5380
Man,"[30,40)",1,Vrouw,"[50,60)",1,6390
Man,"[30,40)",1,Vrouw,"[50,60)",2,4900
Man,"[30,40)",1,Vrouw,"[50,60)",3,2820
Man,"[30,40)",1,Vrouw,"[60,70)",1,3280
Man,"[30,40)",1,Vrouw,"[60,70)",2,1650
Man,"[30,40)",1,Vrouw,"[60,70)",3,810
Man,"[30,40)",2,Man,"[0,20)",1,10590
Man,"[30,40)",2,Man,"[0,20)",2,4630
Man,"[30,40)",2,Man,"[20,30)",1,8920
Man,"[30,40)",2,Man,"[20,30)",2,47510
Man,"[30,40)",2,Man,"[20,30)",3,61610
Man,"[30,40)",2,Man,"[30,40)",1,11570
Man,"[30,40)",2,Man,"[30,40)",2,33850
Man,"[30,40)",2,Man,"[30,40)",3,50480
Man,"[30,40)",2,Man,"[40,50)",1,13460
Man,"[30,40)",2,Man,"[40,50)",2,34050
Man,"[30,40)",2,Man,"[40,50)",3,22370
Man,"[30,40)",2,Man,"[50,60)",1,16970
Man,"[30,40)",2,Man,"[50,60)",2,25860
Man,"[30,40)",2,Man,"[50,60)",3,19610
Man,"[30,40)",2,Man,"[60,70)",1,6920
Man,"[30,40)",2,Man,"[60,70)",2,7870
Man,"[30,40)",2,Man,"[60,70)",3,5770
Man,"[30,40)",2,Man,"[70,80)",1,220
Man,"[30,40)",2,Man,"[70,80)",2,260
Man,"[30,40)",2,Man,"[70,80)",3,310
Man,"[30,40)",2,Vrouw,"[0,20)",1,8540
Man,"[30,40)",2,Vrouw,"[0,20)",2,5220
Man,"[30,40)",2,Vrouw,"[20,30)",1,3960
Man,"[30,40)",2,Vrouw,"[20,30)",2,40010
Man,"[30,40)",2,Vrouw,"[20,30)",3,42250
Man,"[30,40)",2,Vrouw,"[30,40)",1,5830
Man,"[30,40)",2,Vrouw,"[30,40)",2,15440
Man,"[30,40)",2,Vrouw,"[30,40)",3,39100
Man,"[30,40)",2,Vrouw,"[40,50)",1,9200
Man,"[30,40)",2,Vrouw,"[40,50)",2,14150
Man,"[30,40)",2,Vrouw,"[40,50)",3,19780
Man,"[30,40)",2,Vrouw,"[50,60)",1,8240
Man,"[30,40)",2,Vrouw,"[50,60)",2,13730
Man,"[30,40)",2,Vrouw,"[50,60)",3,13560
Man,"[30,40)",2,Vrouw,"[60,70)",1,3640
Man,"[30,40)",2,Vrouw,"[60,70)",2,4590
Man,"[30,40)",2,Vrouw,"[60,70)",3,4490
Man,"[30,40)",3,Man,"[0,20)",1,19520
Man,"[30,40)",3,Man,"[0,20)",2,6010
Man,"[30,40)",3,Man,"[20,30)",1,7620
Man,"[30,40)",3,Man,"[20,30)",2,54820
Man,"[30,40)",3,Man,"[20,30)",3,229250
Man,"[30,40)",3,Man,"[30,40)",1,13990
Man,"[30,40)",3,Man,"[30,40)",2,49000
Man,"[30,40)",3,Man,"[30,40)",3,380920
Man,"[30,40)",3,Man,"[40,50)",1,9440
Man,"[30,40)",3,Man,"[40,50)",2,43460
Man,"[30,40)",3,Man,"[40,50)",3,148760
Man,"[30,40)",3,Man,"[50,60)",1,12530
Man,"[30,40)",3,Man,"[50,60)",2,34800
Man,"[30,40)",3,Man,"[50,60)",3,82280
Man,"[30,40)",3,Man,"[60,70)",1,7240
Man,"[30,40)",3,Man,"[60,70)",2,9370
Man,"[30,40)",3,Man,"[60,70)",3,23890
Man,"[30,40)",3,Man,"[70,80)",1,70
Man,"[30,40)",3,Man,"[70,80)",2,140
Man,"[30,40)",3,Man,"[70,80)",3,350
Man,"[30,40)",3,Vrouw,"[0,20)",1,22780
Man,"[30,40)",3,Vrouw,"[0,20)",2,4970
Man,"[30,40)",3,Vrouw,"[20,30)",1,5720
Man,"[30,40)",3,Vrouw,"[20,30)",2,52210
Man,"[30,40)",3,Vrouw,"[20,30)",3,226320
Man,"[30,40)",3,Vrouw,"[30,40)",1,5510
Man,"[30,40)",3,Vrouw,"[30,40)",2,41190
Man,"[30,40)",3,Vrouw,"[30,40)",3,513690
Man,"[30,40)",3,Vrouw,"[40,50)",1,8000
Man,"[30,40)",3,Vrouw,"[40,50)",2,39660
Man,"[30,40)",3,Vrouw,"[40,50)",3,118310
Man,"[30,40)",3,Vrouw,"[50,60)",1,8650
Man,"[30,40)",3,Vrouw,"[50,60)",2,38660
Man,"[30,40)",3,Vrouw,"[50,60)",3,61180
Man,"[30,40)",3,Vrouw,"[60,70)",1,4210
Man,"[30,40)",3,Vrouw,"[60,70)",2,9830
Man,"[30,40)",3,Vrouw,"[60,70)",3,21400
Man,"[30,40)",3,Vrouw,"[70,80)",2,30
Man,"[30,40)",3,Vrouw,"[70,80)",3,60
Man,"[40,50)",1,Man,"[0,20)",1,4130
Man,"[40,50)",1,Man,"[0,20)",2,950
Man,"[40,50)",1,Man,"[20,30)",1,5510
Man,"[40,50)",1,Man,"[20,30)",2,13230
Man,"[40,50)",1,Man,"[20,30)",3,5940
Man,"[40,50)",1,Man,"[30,40)",1,11190
Man,"[40,50)",1,Man,"[30,40)",2,13840
Man,"[40,50)",1,Man,"[30,40)",3,10410
Man,"[40,50)",1,Man,"[40,50)",1,21300
Man,"[40,50)",1,Man,"[40,50)",2,14980
Man,"[40,50)",1,Man,"[40,50)",3,7370
Man,"[40,50)",1,Man,"[50,60)",1,25410
Man,"[40,50)",1,Man,"[50,60)",2,17310
Man,"[40,50)",1,Man,"[50,60)",3,8150
Man,"[40,50)",1,Man,"[60,70)",1,8490
Man,"[40,50)",1,Man,"[60,70)",2,4730
Man,"[40,50)",1,Man,"[60,70)",3,2580
Man,"[40,50)",1,Man,"[70,80)",1,30
Man,"[40,50)",1,Man,"[70,80)",2,80
Man,"[40,50)",1,Man,"[70,80)",3,20
Man,"[40,50)",1,Vrouw,"[0,20)",1,3070
Man,"[40,50)",1,Vrouw,"[0,20)",2,1230
Man,"[40,50)",1,Vrouw,"[20,30)",1,2150
Man,"[40,50)",1,Vrouw,"[20,30)",2,18740
Man,"[40,50)",1,Vrouw,"[20,30)",3,8730
Man,"[40,50)",1,Vrouw,"[30,40)",1,6600
Man,"[40,50)",1,Vrouw,"[30,40)",2,7150
Man,"[40,50)",1,Vrouw,"[30,40)",3,10670
Man,"[40,50)",1,Vrouw,"[40,50)",1,8130
Man,"[40,50)",1,Vrouw,"[40,50)",2,10730
Man,"[40,50)",1,Vrouw,"[40,50)",3,6300
Man,"[40,50)",1,Vrouw,"[50,60)",1,11880
Man,"[40,50)",1,Vrouw,"[50,60)",2,8150
Man,"[40,50)",1,Vrouw,"[50,60)",3,6010
Man,"[40,50)",1,Vrouw,"[60,70)",1,4320
Man,"[40,50)",1,Vrouw,"[60,70)",2,3050
Man,"[40,50)",1,Vrouw,"[60,70)",3,1970
Man,"[40,50)",1,Vrouw,"[70,80)",2,30
Man,"[40,50)",2,Man,"[0,20)",1,4600
Man,"[40,50)",2,Man,"[0,20)",2,1760
Man,"[40,50)",2,Man,"[20,30)",1,5550
Man,"[40,50)",2,Man,"[20,30)",2,26410
Man,"[40,50)",2,Man,"[20,30)",3,19640
Man,"[40,50)",2,Man,"[30,40)",1,9590
Man,"[40,50)",2,Man,"[30,40)",2,41080
Man,"[40,50)",2,Man,"[30,40)",3,73100
Man,"[40,50)",2,Man,"[40,50)",1,14870
Man,"[40,50)",2,Man,"[40,50)",2,25440
Man,"[40,50)",2,Man,"[40,50)",3,23040
Man,"[40,50)",2,Man,"[50,60)",1,18340
Man,"[40,50)",2,Man,"[50,60)",2,27530
Man,"[40,50)",2,Man,"[50,60)",3,20230
Man,"[40,50)",2,Man,"[60,70)",1,9470
Man,"[40,50)",2,Man,"[60,70)",2,12480
Man,"[40,50)",2,Man,"[60,70)",3,8220
Man,"[40,50)",2,Man,"[70,80)",1,150
Man,"[40,50)",2,Man,"[70,80)",2,90
Man,"[40,50)",2,Man,"[70,80)",3,100
Man,"[40,50)",2,Vrouw,"[0,20)",1,4090
Man,"[40,50)",2,Vrouw,"[0,20)",2,2160
Man,"[40,50)",2,Vrouw,"[20,30)",1,2540
